O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,청주시상당구,184893,103161,0.5579,새누리당,정우택,55141
국회의원선거,19,20120411,청주시상당구,184893,103161,0.5579,민주통합당,홍재형,44424
국회의원선거,19,20120411,청주시상당구,184893,103161,0.5579,자유선진당,김종천,2745
국회의원선거,19,20120411,청주시흥덕구갑,160238,88357,0.5514,새누리당,윤경식,33663
국회의원선거,19,20120411,청주시흥덕구갑,160238,88357,0.5514,민주통합당,오제세,39314
국회의원선거,19,20120411,청주시흥덕구갑,160238,88357,0.5514,자유선진당,최현호,12707
국회의원선거,19,20120411,청주시흥덕구갑,160238,88357,0.5514,진보신당,이응호,2193
국회의원선거,19,20120411,청주시흥덕구을,157436,79083,0.5023,새누리당,김준환,33024
국회의원선거,19,20120411,청주시흥덕구을,157436,79083,0.5023,민주통합당,노영민,41606
국회의원선거,19,20120411,청주시흥덕구을,157436,79083,0.5023,무소속,김우택,3925
국회의원선거,19,20120411,충주시,165481,82842,0.5006,새누리당,윤진식,56688
국회의원선거,19,20120411,충주시,165481,82842,0.5006,통합진보당,김종현,25143
국회의원선거,19,20120411,제천시단양군,136669,74985,0.5487,새누리당,송광호,41776
국회의원선거,19,20120411,제천시단양군,136669,74985,0.5487,민주통합당,서재관,26364
국회의원선거,19,20120411,제천시단양군,136669,74985,0.5487,자유선진당,정연철,3827
국회의원선거,19,20120411,제천시단양군,136669,74985,0.5487,무소속,이창수,2239
국회의원선거,19,20120411,청원군,119273,64912,0.5442,새누리당,이승훈,28228
국회의원선거,19,20120411,청원군,119273,64912,0.5442,민주통합당,변재일,31658
국회의원선거,19,20120411,청원군,119273,64912,0.5442,자유선진당,박현하,4303
국회의원선거,19,20120411,보은군옥천군영동군,116370,76570,0.658,새누리당,박덕흠,30196
국회의원선거,19,20120411,보은군옥천군영동군,116370,76570,0.658,민주통합당,이재한,22963
국회의원선거,19,20120411,보은군옥천군영동군,116370,76570,0.658,무소속,조위필,2151
국회의원선거,19,20120411,보은군옥천군영동군,116370,76570,0.658,무소속,심규철,18919
국회의원선거,19,20120411,증평군진천군괴산군음성군,182519,97380,0.5335,새누리당,경대수,51471
국회의원선거,19,20120411,증평군진천군괴산군음성군,182519,97380,0.5335,민주통합당,정범구,44443
